Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,3384.924895
FDW14,OUT017,579.6886122
NCN55,OUT010,2156.135249
FDQ58,OUT017,592.0897512
FDY38,OUT027,932.0594727
FDH56,OUT046,644.3527205
FDL48,OUT018,932.0594727
FDC48,OUT027,2569.797327
FDN33,OUT045,1501.294608
FDA36,OUT017,2890.439683
FDT44,OUT017,814.2505507
FDQ56,OUT045,2544.252645
NCC54,OUT019,2544.252645
FDU11,OUT049,2048.604206
DRL59,OUT013,2963.072273
FDM24,OUT049,932.0594727
FDI57,OUT045,1769.327493
DRC12,OUT018,932.0594727
NCM42,OUT027,2907.72318
FDA46,OUT010,3046.571565
FDA31,OUT013,3137.477507
NCJ31,OUT035,3227.756696
FDG52,OUT046,2963.072273
NCL19,OUT019,333.9140061
FDS10,OUT035,2728.865815
FDX22,OUT010,814.2505507
NCF19,OUT035,719.938551
NCE06,OUT046,719.938551
DRC27,OUT046,176.4930245
FDE21,OUT035,119.042524
NCR42,OUT019,217.8888581
FDX51,OUT018,1279.401169
NCR06,OUT018,3061.096942
FDU31,OUT027,1501.294608
FDU59,OUT017,2746.626342
FDR03,OUT027,2544.252645
FDS49,OUT027,2992.072065
FDD48,OUT010,1823.368861
NCF18,OUT017,1054.175047
NCD43,OUT027,2334.453174
NCD54,OUT018,3072.901365
FDY19,OUT010,2048.604206
NCY54,OUT017,3019.521029
NCL19,OUT018,3127.242506
FDP23,OUT010,2048.604206
FDC26,OUT013,494.0604261
FDR14,OUT010,2544.252645
NCS41,OUT035,3315.12723
FDF41,OUT035,1044.873008
FDU34,OUT046,974.3879161
DRH11,OUT046,2544.252645
FDM03,OUT013,2156.135249
FDS31,OUT017,1975.712687
FDJ20,OUT017,2963.072273
FDV44,OUT027,2544.252645
FDG02,OUT049,2894.584306
FDA09,OUT013,1684.715395
FDT04,OUT013,719.938551
FDL58,OUT019,3295.714506
FDE52,OUT045,494.0604261
FDW12,OUT035,2894.584306
FDL51,OUT017,1361.136609
NCY42,OUT027,1102.138808
FDR07,OUT017,176.4930245
FDN40,OUT045,2893.129354
FDB35,OUT027,592.0897512
FDA22,OUT017,2759.294842
NCL06,OUT046,2890.439683
FDI35,OUT013,2716.197316
NCW42,OUT045,1501.294608
NCX06,OUT049,2759.294842
FDC37,OUT027,932.0594727
FDZ14,OUT018,2728.865815
DRG49,OUT049,2890.439683
NCG06,OUT045,3305.430421
DRC36,OUT045,1975.712687
FDV21,OUT019,2789.413797
FDB53,OUT046,314.6234612
DRP47,OUT019,1684.715395
FDA14,OUT013,3046.571565
DRC24,OUT035,1684.715395
FDW21,OUT018,2759.294842
NCH29,OUT046,2756.632764
FDU58,OUT013,606.141064
FDY27,OUT017,3138.813052
FDV56,OUT035,2759.294842
FDT59,OUT046,2571.75656
FDB23,OUT046,3174.738425
FDR49,OUT045,1501.294608
FDB03,OUT010,1975.712687
FDN39,OUT045,323.1493205
FDX02,OUT027,719.938551
FDQ16,OUT027,919.3909732
FDU35,OUT018,932.0594727
NCT29,OUT013,1975.712687
FDZ27,OUT046,323.1493205
FDN57,OUT017,3103.02032
FDA03,OUT018,2890.439683
FDZ36,OUT045,3227.756696
NCU05,OUT013,2916.769483
FDT39,OUT018,2544.252645
FDK60,OUT017,3102.971774
FDZ25,OUT017,2789.413797
FDG12,OUT046,707.2700515
DRB01,OUT019,2872.550121
NCC43,OUT027,2156.135249
FDX13,OUT019,2728.865815
FDM22,OUT049,2048.604206
FDJ03,OUT027,335.626734
FDU14,OUT018,707.2700515
FDB33,OUT010,3072.901365
FDP27,OUT046,1684.715395
FDO38,OUT010,494.0604261
FDE28,OUT027,2992.072065
FDO27,OUT035,2759.294842
